state,terminal,effective_date,fuel,tgp,date_downloaded
WA,Albany,2025-11-11,PULP98,173.44,2025-11-11 06:48:21
WA,Albany,2025-11-11,ULP,162.23,2025-11-11 06:48:21
WA,Broome,2025-11-11,DIESEL,189.99,2025-11-11 06:48:21
WA,Broome,2025-11-11,PULP95,207.19,2025-11-11 06:48:21
WA,Broome,2025-11-11,ULP,192.87,2025-11-11 06:48:21
WA,Esperance,2025-11-11,DIESEL,183.7,2025-11-11 06:48:21
WA,Fremantle,2025-11-11,DIESEL,174.75,2025-11-11 06:48:21
WA,Fremantle,2025-11-11,PULP95,179.32,2025-11-11 06:48:21
WA,Fremantle,2025-11-11,PULP98,185.59,2025-11-11 06:48:21
WA,Fremantle,2025-11-11,ULP,164.65,2025-11-11 06:48:21
WA,Geraldton,2025-11-11,DIESEL,181.6,2025-11-11 06:48:21
WA,Geraldton,2025-11-11,ULP,162.37,2025-11-11 06:48:21
WA,Kwinana,2025-11-11,PULP95,179.32,2025-11-11 06:48:21
WA,Kwinana,2025-11-11,PULP98,185.59,2025-11-11 06:48:21
WA,Port Hedland,2025-11-11,DIESEL,180.03,2025-11-11 06:48:21
WA,Port Hedland,2025-11-11,ULP,179.89,2025-11-11 06:48:21
NSW,Newcastle,2025-11-12,DIESEL,178.06,2025-11-12 06:48:25
NSW,Newcastle,2025-11-12,E10,169.5,2025-11-12 06:48:25
NSW,Newcastle,2025-11-12,PULP95,180.01,2025-11-12 06:48:25
NSW,Newcastle,2025-11-12,PULP98,186.39,2025-11-12 06:48:25
NSW,Newcastle,2025-11-12,ULP,167.86,2025-11-12 06:48:25
NSW,Sydney,2025-11-12,DIESEL,178.97,2025-11-12 06:48:25
NSW,Sydney,2025-11-12,E10,169.13,2025-11-12 06:48:25
NSW,Sydney,2025-11-12,PULP95,180.48,2025-11-12 06:48:25
NSW,Sydney,2025-11-12,PULP98,187.78,2025-11-12 06:48:25
NSW,Sydney,2025-11-12,ULP,168.02,2025-11-12 06:48:25
NT,Darwin,2025-11-12,DIESEL,182.52,2025-11-12 06:48:25
NT,Darwin,2025-11-12,PULP95,183.95,2025-11-12 06:48:25
NT,Darwin,2025-11-12,ULP,171.18,2025-11-12 06:48:25
QLD,Brisbane,2025-11-12,DIESEL,179.78,2025-11-12 06:48:25
QLD,Brisbane,2025-11-12,E10,169.82,2025-11-12 06:48:25
QLD,Brisbane,2025-11-12,PULP95,180.51,2025-11-12 06:48:25
QLD,Brisbane,2025-11-12,PULP98,187.54,2025-11-12 06:48:25
QLD,Brisbane,2025-11-12,ULP,168.33,2025-11-12 06:48:25
QLD,Cairns,2025-11-12,DIESEL,180.05,2025-11-12 06:48:25
QLD,Cairns,2025-11-12,E10,171.25,2025-11-12 06:48:25
QLD,Cairns,2025-11-12,PULP95,182.38,2025-11-12 06:48:25
QLD,Cairns,2025-11-12,ULP,168.99,2025-11-12 06:48:25
QLD,Gladstone,2025-11-12,DIESEL,180.77,2025-11-12 06:48:25
QLD,Gladstone,2025-11-12,PULP95,183.37,2025-11-12 06:48:25
QLD,Gladstone,2025-11-12,ULP,169.88,2025-11-12 06:48:25
QLD,Mackay,2025-11-12,DIESEL,179.83,2025-11-12 06:48:25
QLD,Mackay,2025-11-12,E10,171.81,2025-11-12 06:48:25
QLD,Mackay,2025-11-12,PULP98,188.21,2025-11-12 06:48:25
QLD,Mackay,2025-11-12,ULP,169.8,2025-11-12 06:48:25
QLD,Townsville,2025-11-12,DIESEL,180.26,2025-11-12 06:48:25
QLD,Townsville,2025-11-12,PULP95,182.81,2025-11-12 06:48:25
QLD,Townsville,2025-11-12,PULP98,189.42,2025-11-12 06:48:25
QLD,Townsville,2025-11-12,ULP,169.2,2025-11-12 06:48:25
SA,Adelaide,2025-11-12,DIESEL,177.74,2025-11-12 06:48:25
SA,Adelaide,2025-11-12,PULP95,179.66,2025-11-12 06:48:25
SA,Adelaide,2025-11-12,PULP98,185.62,2025-11-12 06:48:25
SA,Adelaide,2025-11-12,ULP,166.73,2025-11-12 06:48:25
SA,Port Bonython,2025-11-12,DIESEL,177.33,2025-11-12 06:48:25
TAS,Burnie,2025-11-12,DIESEL,179.85,2025-11-12 06:48:25
TAS,Burnie,2025-11-12,PULP95,180.22,2025-11-12 06:48:25
TAS,Burnie,2025-11-12,ULP,170.19,2025-11-12 06:48:25
TAS,Devonport,2025-11-12,DIESEL,181.4,2025-11-12 06:48:25
TAS,Devonport,2025-11-12,PULP95,181.99,2025-11-12 06:48:25
TAS,Devonport,2025-11-12,ULP,169.88,2025-11-12 06:48:25
TAS,Hobart,2025-11-12,DIESEL,181.4,2025-11-12 06:48:25
TAS,Hobart,2025-11-12,PULP95,181.85,2025-11-12 06:48:25
TAS,Hobart,2025-11-12,PULP98,190.45,2025-11-12 06:48:25
TAS,Hobart,2025-11-12,ULP,169.83,2025-11-12 06:48:25
VIC,Corio,2025-11-12,DIESEL,178.98,2025-11-12 06:48:25
VIC,Corio,2025-11-12,PULP95,179.6,2025-11-12 06:48:25
VIC,Corio,2025-11-12,PULP98,187.2,2025-11-12 06:48:25
VIC,Corio,2025-11-12,ULP,168.18,2025-11-12 06:48:25
VIC,Melbourne,2025-11-12,DIESEL,178.49,2025-11-12 06:48:25
VIC,Melbourne,2025-11-12,PULP95,179.86,2025-11-12 06:48:25
VIC,Melbourne,2025-11-12,PULP98,187.43,2025-11-12 06:48:25
VIC,Melbourne,2025-11-12,ULP,168.01,2025-11-12 06:48:25
WA,Albany,2025-11-12,DIESEL,178.19,2025-11-12 06:48:25
WA,Albany,2025-11-12,PULP95,172.14,2025-11-12 06:48:25
WA,Albany,2025-11-12,PULP98,173.65,2025-11-12 06:48:25
WA,Albany,2025-11-12,ULP,162.49,2025-11-12 06:48:25
WA,Broome,2025-11-12,DIESEL,190.76,2025-11-12 06:48:25
WA,Broome,2025-11-12,PULP95,207.82,2025-11-12 06:48:25
WA,Broome,2025-11-12,ULP,193.51,2025-11-12 06:48:25
WA,Esperance,2025-11-12,DIESEL,184.28,2025-11-12 06:48:25
WA,Fremantle,2025-11-12,DIESEL,175.3,2025-11-12 06:48:25
WA,Fremantle,2025-11-12,PULP95,179.54,2025-11-12 06:48:25
WA,Fremantle,2025-11-12,PULP98,185.83,2025-11-12 06:48:25
WA,Fremantle,2025-11-12,ULP,164.86,2025-11-12 06:48:25
WA,Geraldton,2025-11-12,DIESEL,182.2,2025-11-12 06:48:25
WA,Geraldton,2025-11-12,ULP,162.62,2025-11-12 06:48:25
WA,Kwinana,2025-11-12,PULP95,179.54,2025-11-12 06:48:25
WA,Kwinana,2025-11-12,PULP98,185.83,2025-11-12 06:48:25
WA,Port Hedland,2025-11-12,DIESEL,180.59,2025-11-12 06:48:25
WA,Port Hedland,2025-11-12,ULP,180.25,2025-11-12 06:48:25
NSW,Newcastle,2025-11-13,DIESEL,178.86,2025-11-13 06:48:02
NSW,Newcastle,2025-11-13,E10,169.94,2025-11-13 06:48:02
NSW,Newcastle,2025-11-13,PULP95,180.52,2025-11-13 06:48:02
NSW,Newcastle,2025-11-13,PULP98,186.9,2025-11-13 06:48:02
NSW,Newcastle,2025-11-13,ULP,168.36,2025-11-13 06:48:02
NSW,Sydney,2025-11-13,DIESEL,179.77,2025-11-13 06:48:02
NSW,Sydney,2025-11-13,E10,169.57,2025-11-13 06:48:02
NSW,Sydney,2025-11-13,PULP95,180.99,2025-11-13 06:48:02
NSW,Sydney,2025-11-13,PULP98,188.29,2025-11-13 06:48:02
NSW,Sydney,2025-11-13,ULP,168.51,2025-11-13 06:48:02
NT,Darwin,2025-11-13,DIESEL,183.3,2025-11-13 06:48:02
NT,Darwin,2025-11-13,PULP95,184.44,2025-11-13 06:48:02
NT,Darwin,2025-11-13,ULP,171.65,2025-11-13 06:48:02
QLD,Brisbane,2025-11-13,DIESEL,180.58,2025-11-13 06:48:02
QLD,Brisbane,2025-11-13,E10,170.26,2025-11-13 06:48:02
QLD,Brisbane,2025-11-13,PULP95,181.01,2025-11-13 06:48:02
QLD,Brisbane,2025-11-13,PULP98,188.05,2025-11-13 06:48:02
QLD,Brisbane,2025-11-13,ULP,168.82,2025-11-13 06:48:02
QLD,Cairns,2025-11-13,DIESEL,180.85,2025-11-13 06:48:02
QLD,Cairns,2025-11-13,E10,171.7,2025-11-13 06:48:02
QLD,Cairns,2025-11-13,PULP95,182.9,2025-11-13 06:48:02
QLD,Cairns,2025-11-13,ULP,169.49,2025-11-13 06:48:02
QLD,Gladstone,2025-11-13,DIESEL,181.57,2025-11-13 06:48:02
QLD,Gladstone,2025-11-13,PULP95,183.89,2025-11-13 06:48:02
QLD,Gladstone,2025-11-13,ULP,170.39,2025-11-13 06:48:02
QLD,Mackay,2025-11-13,DIESEL,180.63,2025-11-13 06:48:02
QLD,Mackay,2025-11-13,E10,172.26,2025-11-13 06:48:02
QLD,Mackay,2025-11-13,PULP98,188.73,2025-11-13 06:48:02
QLD,Mackay,2025-11-13,ULP,170.31,2025-11-13 06:48:02
QLD,Townsville,2025-11-13,DIESEL,181.05,2025-11-13 06:48:02
QLD,Townsville,2025-11-13,PULP95,183.33,2025-11-13 06:48:02
QLD,Townsville,2025-11-13,PULP98,189.94,2025-11-13 06:48:02
QLD,Townsville,2025-11-13,ULP,169.7,2025-11-13 06:48:02
SA,Adelaide,2025-11-13,DIESEL,178.54,2025-11-13 06:48:02
SA,Adelaide,2025-11-13,PULP95,180.16,2025-11-13 06:48:02
SA,Adelaide,2025-11-13,PULP98,186.12,2025-11-13 06:48:02
SA,Adelaide,2025-11-13,ULP,167.22,2025-11-13 06:48:02
SA,Port Bonython,2025-11-13,DIESEL,178.14,2025-11-13 06:48:02
TAS,Burnie,2025-11-13,DIESEL,180.67,2025-11-13 06:48:02
TAS,Burnie,2025-11-13,PULP95,180.74,2025-11-13 06:48:02
TAS,Burnie,2025-11-13,ULP,170.7,2025-11-13 06:48:02
TAS,Devonport,2025-11-13,DIESEL,182.01,2025-11-13 06:48:02
TAS,Devonport,2025-11-13,PULP95,182.28,2025-11-13 06:48:02
TAS,Devonport,2025-11-13,ULP,170.16,2025-11-13 06:48:02
TAS,Hobart,2025-11-13,DIESEL,182.01,2025-11-13 06:48:02
TAS,Hobart,2025-11-13,PULP95,182.14,2025-11-13 06:48:02
TAS,Hobart,2025-11-13,PULP98,190.75,2025-11-13 06:48:02
TAS,Hobart,2025-11-13,ULP,170.11,2025-11-13 06:48:02
VIC,Corio,2025-11-13,DIESEL,179.79,2025-11-13 06:48:02
VIC,Corio,2025-11-13,PULP95,180.11,2025-11-13 06:48:02
VIC,Corio,2025-11-13,PULP98,187.71,2025-11-13 06:48:02
VIC,Corio,2025-11-13,ULP,168.67,2025-11-13 06:48:02
VIC,Melbourne,2025-11-13,DIESEL,179.3,2025-11-13 06:48:02
VIC,Melbourne,2025-11-13,PULP95,180.37,2025-11-13 06:48:02
VIC,Melbourne,2025-11-13,PULP98,187.94,2025-11-13 06:48:02
VIC,Melbourne,2025-11-13,ULP,168.51,2025-11-13 06:48:02
WA,Albany,2025-11-13,DIESEL,178.99,2025-11-13 06:48:02
WA,Albany,2025-11-13,PULP95,172.63,2025-11-13 06:48:02
WA,Albany,2025-11-13,PULP98,174.14,2025-11-13 06:48:02
WA,Albany,2025-11-13,ULP,162.99,2025-11-13 06:48:02
WA,Broome,2025-11-13,DIESEL,191.71,2025-11-13 06:48:02
WA,Broome,2025-11-13,PULP95,208.66,2025-11-13 06:48:02
WA,Broome,2025-11-13,ULP,194.32,2025-11-13 06:48:02
WA,Esperance,2025-11-13,DIESEL,185.1,2025-11-13 06:48:02
WA,Fremantle,2025-11-13,DIESEL,176.07,2025-11-13 06:48:02
WA,Fremantle,2025-11-13,PULP95,180.04,2025-11-13 06:48:02
WA,Fremantle,2025-11-13,PULP98,186.33,2025-11-13 06:48:02
WA,Fremantle,2025-11-13,ULP,165.33,2025-11-13 06:48:02
WA,Geraldton,2025-11-13,DIESEL,183.01,2025-11-13 06:48:02
WA,Geraldton,2025-11-13,ULP,163.12,2025-11-13 06:48:02
WA,Kwinana,2025-11-13,PULP95,180.04,2025-11-13 06:48:02
WA,Kwinana,2025-11-13,PULP98,186.33,2025-11-13 06:48:02
WA,Port Hedland,2025-11-13,DIESEL,181.37,2025-11-13 06:48:02
WA,Port Hedland,2025-11-13,ULP,180.82,2025-11-13 06:48:02
NSW,Newcastle,2025-11-14,DIESEL,179.67,2025-11-13 06:48:02
NSW,Newcastle,2025-11-14,E10,170.48,2025-11-13 06:48:02
NSW,Newcastle,2025-11-14,PULP95,181.09,2025-11-13 06:48:02
NSW,Newcastle,2025-11-14,PULP98,187.46,2025-11-13 06:48:02
NSW,Newcastle,2025-11-14,ULP,168.95,2025-11-13 06:48:02
NSW,Sydney,2025-11-14,DIESEL,180.58,2025-11-13 06:48:02
NSW,Sydney,2025-11-14,E10,170.1,2025-11-13 06:48:02
NSW,Sydney,2025-11-14,PULP95,181.56,2025-11-13 06:48:02
NSW,Sydney,2025-11-14,PULP98,188.85,2025-11-13 06:48:02
NSW,Sydney,2025-11-14,ULP,169.1,2025-11-13 06:48:02
NT,Darwin,2025-11-14,DIESEL,184.08,2025-11-13 06:48:02
NT,Darwin,2025-11-14,PULP95,184.99,2025-11-13 06:48:02
NT,Darwin,2025-11-14,ULP,172.23,2025-11-13 06:48:02
QLD,Brisbane,2025-11-14,DIESEL,181.39,2025-11-13 06:48:02
QLD,Brisbane,2025-11-14,E10,170.8,2025-11-13 06:48:02
QLD,Brisbane,2025-11-14,PULP95,181.58,2025-11-13 06:48:02
QLD,Brisbane,2025-11-14,PULP98,188.62,2025-11-13 06:48:02
QLD,Brisbane,2025-11-14,ULP,169.42,2025-11-13 06:48:02
QLD,Cairns,2025-11-14,DIESEL,181.66,2025-11-13 06:48:02
QLD,Cairns,2025-11-14,E10,172.24,2025-11-13 06:48:02
QLD,Cairns,2025-11-14,PULP95,183.48,2025-11-13 06:48:02
QLD,Cairns,2025-11-14,ULP,170.09,2025-11-13 06:48:02
QLD,Gladstone,2025-11-14,DIESEL,182.38,2025-11-13 06:48:02
QLD,Gladstone,2025-11-14,PULP95,184.46,2025-11-13 06:48:02
QLD,Gladstone,2025-11-14,ULP,170.99,2025-11-13 06:48:02
QLD,Mackay,2025-11-14,DIESEL,181.44,2025-11-13 06:48:02
QLD,Mackay,2025-11-14,E10,172.8,2025-11-13 06:48:02
QLD,Mackay,2025-11-14,PULP98,189.3,2025-11-13 06:48:02
QLD,Mackay,2025-11-14,ULP,170.91,2025-11-13 06:48:02
QLD,Townsville,2025-11-14,DIESEL,181.85,2025-11-13 06:48:02
QLD,Townsville,2025-11-14,PULP95,183.91,2025-11-13 06:48:02
QLD,Townsville,2025-11-14,PULP98,190.51,2025-11-13 06:48:02
QLD,Townsville,2025-11-14,ULP,170.31,2025-11-13 06:48:02
SA,Adelaide,2025-11-14,DIESEL,179.34,2025-11-13 06:48:02
SA,Adelaide,2025-11-14,PULP95,180.73,2025-11-13 06:48:02
SA,Adelaide,2025-11-14,PULP98,186.68,2025-11-13 06:48:02
SA,Adelaide,2025-11-14,ULP,167.8,2025-11-13 06:48:02
SA,Port Bonython,2025-11-14,DIESEL,178.95,2025-11-13 06:48:02
TAS,Burnie,2025-11-14,DIESEL,181.5,2025-11-13 06:48:02
TAS,Burnie,2025-11-14,PULP95,181.33,2025-11-13 06:48:02
TAS,Burnie,2025-11-14,ULP,171.32,2025-11-13 06:48:02
TAS,Devonport,2025-11-14,DIESEL,182.83,2025-11-13 06:48:02
TAS,Devonport,2025-11-14,PULP95,182.8,2025-11-13 06:48:02
TAS,Devonport,2025-11-14,ULP,170.67,2025-11-13 06:48:02
TAS,Hobart,2025-11-14,DIESEL,182.83,2025-11-13 06:48:02
TAS,Hobart,2025-11-14,PULP95,182.67,2025-11-13 06:48:02
TAS,Hobart,2025-11-14,PULP98,191.27,2025-11-13 06:48:02
TAS,Hobart,2025-11-14,ULP,170.62,2025-11-13 06:48:02
VIC,Corio,2025-11-14,DIESEL,180.6,2025-11-13 06:48:02
VIC,Corio,2025-11-14,PULP95,180.68,2025-11-13 06:48:02
VIC,Corio,2025-11-14,PULP98,188.27,2025-11-13 06:48:02
VIC,Corio,2025-11-14,ULP,169.27,2025-11-13 06:48:02
VIC,Melbourne,2025-11-14,DIESEL,180.11,2025-11-13 06:48:02
VIC,Melbourne,2025-11-14,PULP95,180.94,2025-11-13 06:48:02
VIC,Melbourne,2025-11-14,PULP98,188.5,2025-11-13 06:48:02
VIC,Melbourne,2025-11-14,ULP,169.1,2025-11-13 06:48:02
WA,Albany,2025-11-14,DIESEL,179.83,2025-11-13 06:48:02
WA,Albany,2025-11-14,PULP95,173.18,2025-11-13 06:48:02
WA,Albany,2025-11-14,PULP98,174.69,2025-11-13 06:48:02
WA,Albany,2025-11-14,ULP,163.6,2025-11-13 06:48:02
WA,Broome,2025-11-14,DIESEL,192.64,2025-11-13 06:48:02
WA,Broome,2025-11-14,PULP95,209.52,2025-11-13 06:48:02
WA,Broome,2025-11-14,ULP,195.2,2025-11-13 06:48:02
WA,Esperance,2025-11-14,DIESEL,185.91,2025-11-13 06:48:02
WA,Fremantle,2025-11-14,DIESEL,176.86,2025-11-13 06:48:02
WA,Fremantle,2025-11-14,PULP95,180.58,2025-11-13 06:48:02
WA,Fremantle,2025-11-14,PULP98,186.86,2025-11-13 06:48:02
WA,Fremantle,2025-11-14,ULP,165.9,2025-11-13 06:48:02
WA,Geraldton,2025-11-14,DIESEL,183.82,2025-11-13 06:48:02
WA,Geraldton,2025-11-14,ULP,163.71,2025-11-13 06:48:02
WA,Kwinana,2025-11-14,PULP95,180.58,2025-11-13 06:48:02
